address_raw,address_type,address_clean,lat,lon,geocoding_quality,geocoding_method,matched_address
"C. del Alcalde Díaz Zafra, 10, Cruz de Humilladero, 29006 Málaga",house_number,"Calle del Alcalde Díaz Zafra, 10, Cruz de Humilladero, 29006, Málaga, Spain",36.708283,-4.4509935,medium,original,"Calle Alcalde Moreno Mico, Industrial Alcalde Díaz Zafra, Cruz de Humilladero, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29003, España"
"Alcalde Joaquín Alonso, 17 malaga",house_number,"Alcalde Joaquín Alonso, 17, Málaga, Spain",36.698251,-4.4514364,medium,original,"Calle Alcalde Joaquín Alonso, Vistafranca, Carretera de Cádiz, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29003, España"
Alejandro Dumas 19,house_number,"Alejandro Dumas 19, Málaga, Spain",36.6941396,-4.4573491,high,original,"19, Calle Alejandro Dumas, Guadaljaire, Carretera de Cádiz, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29004, España"
C. Almogía MALAGA,street_only,"Calle Almogía, Málaga, Spain",36.7142375,-4.453144,high,original,"Calle Almogía, La Barriguilla, Cruz de Humilladero, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29006, España"
"amarguillo, 2 - Malaga",house_number,"Amarguillo, 2, Málaga, Spain",36.7096919,-4.4427488,high,original,"2, Calle Amarguillo, Santa Marta, Cruz de Humilladero, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29006, España"
Andarax con Camino de san Rafael,intersection,"Andarax and Camino de San Rafael, Málaga, Spain",36.7098541,-4.4435604,low,first_street_of_intersection,"Calle Andarax, Santa Marta, Cruz de Humilladero, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29007, España"
"Antonio Chacon, 5 - malaga",house_number,"Antonio Chacon, 5, Málaga, Spain",36.6991383,-4.447867,high,original,"5, Calle Antonio Chacón, El Torcal, Carretera de Cádiz, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29003, España"
"Antonio Gaudi, 2 - malaga",house_number,"Antonio Gaudi, 2, Málaga, Spain",36.6975515,-4.456082,high,original,"2, Avenida Antonio Gaudí, La Luz, Carretera de Cádiz, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29004, España"
"Archidona, 15 - Malaga",house_number,"Archidona, 15, Málaga, Spain",36.717768,-4.45253,medium,original,"Calle Archidona, Portada Alta, Cruz de Humilladero, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29010, España"
"archidona, 5 malaga",house_number,"Archidona, 5, Málaga, Spain",36.717768,-4.45253,medium,original,"Calle Archidona, Portada Alta, Cruz de Humilladero, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29010, España"
Aresnisca con Obsidiana - Malaga,intersection,"Aresnisca and Obsidiana, Málaga, Spain",36.7097848,-4.4552902,low,second_street_of_intersection,"Calle Obsidiana, Tiro de Pichón, Cruz de Humilladero, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29006, España"
"C. Arlanza, 9 malaga",house_number,"Calle Arlanza, 9, Málaga, Spain",36.7357776,-4.4292331,medium,original,"Calle Arlanza, La Rosaleda, Palma-Palmilla, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29011, España"
C. Arlanzón MALAGA,street_only,"Calle Arlanzón, Málaga, Spain",36.7371076,-4.4288203,high,original,"Calle Arlanzón, Huerta La Palma, Palma-Palmilla, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29011, España"
calle armengual de la mota 1,house_number,"Calle Armengual de la Mota 1, Málaga, Spain",36.7173202,-4.4298925,high,original,"1, Calle Armengual de la Mota, Polígono Alameda, Cruz de Humilladero, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29007, España"
"Arroyo de los Angeles, 30",house_number,"Arroyo de los Angeles, 30, Málaga, Spain",36.7306049,-4.4329321,medium,original,"Arroyo de los Ángeles, Palma-Palmilla, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, España"
"Av. del Arroyo de los Ángeles, 60",house_number,"Avenida del Arroyo de los Ángeles, 60, Málaga, Spain",36.7288737,-4.431924,medium,original,"Avenida Arroyo de los Ángeles, Arroyo de los Ángeles, Palma-Palmilla, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29009, España"
Arroyo de los Angeles esquina Crisitino Martos,intersection,"Arroyo de los Angeles and Crisitino Martos, Málaga, Spain",36.7306049,-4.4329321,low,first_street_of_intersection,"Arroyo de los Ángeles, Palma-Palmilla, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, España"
Arroyo de los Angeles esquina nuestra señora de los clarines,intersection,"Arroyo de los Angeles and Nuestra Señora de los Clarines, Málaga, Spain",36.7306049,-4.4329321,low,first_street_of_intersection,"Arroyo de los Ángeles, Palma-Palmilla, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, España"
"Av. de la Aurora, 63",house_number,"Avenida de la Aurora, 63, Málaga, Spain",36.7151287,-4.4394102,high,original,"63, Avenida de la Aurora, Polígono Alameda, Cruz de Humilladero, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29006, España"
"Avda del Obispo Angel Herrea Oria, 5",house_number,"Avenida del Obispo Angel Herrea Oria, 5, Málaga, Spain",36.7181127,-4.4396451,high,simplified,"5, Avenida Obispo Ángel Herrera Oria, Polígono Alameda, Cruz de Humilladero, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29007, España"
Avda de los Guindos 29,house_number,"Avenida de los Guindos 29, Málaga, Spain",36.6915342,-4.4489365,medium,original,"Maria Victoria Hervas Jimenez, 29, Avenida de los Guindos, Santa Paula, Polígono Industrial Los Guindos, Carretera de Cádiz, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29004, España"
Avda Imperio Argentina 7,house_number,"Avenida Imperio Argentina 7, Málaga, Spain",36.6831432,-4.4553009,medium,original,"Trattoria Mamma Franca, 7, Avenida Imperio Argentina, Finca El Pato, Carretera de Cádiz, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29004, España"
"Av. de José Ortega y Gasset, 16 malaga",house_number,"Avenida de José Ortega y Gasset, 16, Málaga, Spain",36.7080892,-4.4875487,medium,simplified,"Avenida José Ortega y Gasset, Intelhorce, Cruz de Humilladero, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29071, España"
"Av. de la Aurora, 16",house_number,"Avenida de la Aurora, 16, Málaga, Spain",36.7162686,-4.4302441,high,original,"16, Avenida de la Aurora, Polígono Alameda, Cruz de Humilladero, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29002, España"
"Av. de las Américas, 12",house_number,"Avenida de las Américas, 12, Málaga, Spain",36.7143154,-4.4327938,medium,original,"Avenida de las Américas, La Aurora, Cruz de Humilladero, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29002, España"
"Av. de Velázquez, 60  - malaga",house_number,"Avenida de Velázquez, 60, Málaga, Spain",36.6985422,-4.4474095,medium,original,"Avenida de Velázquez, El Torcal, Carretera de Cádiz, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29003, España"
Velazquez 16,house_number,"Velazquez 16, Málaga, Spain",36.6991537,-4.4471921,high,original,"16, Avenida de Velázquez, El Torcal, Carretera de Cádiz, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29003, España"
"Avenida de Bonaire, 5 - Malaga",house_number,"Avenida de Bonaire, 5, Málaga, Spain",36.6950703,-4.4551506,high,simplified,"5, Avenida Bonaire, Los Girasoles, Carretera de Cádiz, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29004, España"
"Avenida de Europa, 117 - malaga",house_number,"Avenida de Europa, 117, Málaga, Spain",36.7023994,-4.4466073,medium,original,"Europa - Dos Hermanas, Avenida Europa, El Torcal, Carretera de Cádiz, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29003, España"
Avenida de Europa esquina puerto oncala,intersection,"Avenida de Europa and Puerto Oncala, Málaga, Spain",36.7008379,-4.4512364,low,first_street_of_intersection,"Fuente de la Avenida de Europa, Carretera de Cádiz, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, España"
Avenida de la Luz 11 - malaga,house_number,"Avenida de la Luz 11, Málaga, Spain",36.6965012,-4.452658,high,original,"11, Avenida de la Luz, La Luz, Carretera de Cádiz, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29004, España"
"Avenida de la Paloma, 23 - malaga",house_number,"Avenida de la Paloma, 23, Málaga, Spain",36.7008289,-4.4425808,high,simplified,"23, Avenida Paloma, Girón, Carretera de Cádiz, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29003, España"
"Avenida de Moliere, 1",house_number,"Avenida de Moliere, 1, Málaga, Spain",36.6906034,-4.4562891,high,simplified,"1, Avenida Molière, Mainake, Carretera de Cádiz, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29004, España"
Av. de Molière MALAGA,street_only,"Avenida de Molière, Málaga, Spain",36.6899255,-4.4558088,high,original,"Molière - Velázquez, Avenida Molière, Mainake, Carretera de Cádiz, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29003, España"
"Av. de Molière, 20",house_number,"Avenida de Molière, 20, Málaga, Spain",36.6872344,-4.4537681,medium,simplified,"Maxi Dia, 20, Avenida Molière, Mainake, Carretera de Cádiz, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29004, España"
"ayala, 33  - malaga",house_number,"Ayala, 33, Málaga, Spain",36.7085031,-4.4329111,high,original,"33, Calle Ayala, Parque Ayala, Carretera de Cádiz, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29002, España"
"C. Ayamonte, 9 malaga",house_number,"Calle Ayamonte, 9, Málaga, Spain",36.6862618,-4.4464114,high,original,"9, Calle Ayamonte, Torre del Río, Carretera de Cádiz, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29004, España"
"C. Benagalbón, 16-26 MALAGA",house_number,"Calle Benagalbón, 16-26, Málaga, Spain",36.7163594,-4.4526179,medium,original,"Calle Benagalbón, Portada Alta, Cruz de Humilladero, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29010, España"
Calle Bidasoa,street_only,"Calle Bidasoa, Málaga, Spain",36.7377953,-4.4273456,high,original,"Calle Bidasoa, 503 Viviendas, Palma-Palmilla, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29011, España"
"Blas de Lezo, 19 Malaga",house_number,"Blas de Lezo, 19, Málaga, Spain",36.7286832,-4.4346287,high,original,"19, Calle Blas de Lezo, Victoria Eugenia, La Trinidad (Bailén-Miraflores), Bailén-Miraflores, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29011, España"
"C. Cabriel, 25-19 malaga",house_number,"Calle Cabriel, 25-19, Málaga, Spain",36.7398652,-4.4302585,medium,original,"Calle Cabriel, La Palma, Palma-Palmilla, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29011, España"
calle ayala 88 Malaga,house_number,"Calle Ayala 88, Málaga, Spain",36.7052702,-4.4366225,high,original,"88, Calle Ayala, Jardín de la Abadía, Carretera de Cádiz, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29002, España"
calle competa 20 malaga,house_number,"Calle Competa 20, Málaga, Spain",36.7194502,-4.4522191,high,original,"20, Calle Cómpeta, Camino de Antequera, Cruz de Humilladero, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29007, España"
calle gaucin 21 - malaga,house_number,"Calle Gaucin 21, Málaga, Spain",36.6990446,-4.4517697,high,original,"21, Calle Gaucín, Vistafranca, Carretera de Cádiz, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29003, España"
"Vicente Aleixandre, 17 - malaga",house_number,"Vicente Aleixandre, 17, Málaga, Spain",36.6995928,-4.4428411,high,original,"17, Calle Vicente Aleixandre, Girón, Carretera de Cádiz, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29003, España"
Calzada de la Trinidad 8,house_number,"Calzada de la Trinidad 8, Málaga, Spain",36.7250266,-4.4316895,high,original,"8, Calle Calzada de la Trinidad, La Trinidad, Bailén-Miraflores, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29009, España"
"de la, Cam. de la Térmica, 21, 29004 Málaga",house_number,"De La, Camino de la Térmica, 21, 29004, Málaga, Spain",36.6815213,-4.450535,low,street_only_fallback,"Térmica - Imperio Argentina, Camino de La Térmica, Almudena, Polígono Industrial La Térmica, Carretera de Cádiz, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29003, España"
"Cam. de los Guindos, 26-28 malaga",house_number,"Camino de los Guindos, 26-28, Málaga, Spain",36.6937365,-4.4509104,medium,original,"Camino de los Guindos, La Paz, Polígono Industrial Los Guindos, Carretera de Cádiz, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29003, España"
"Camino de los Prados, 12 - malaga",house_number,"Camino de los Prados, 12, Málaga, Spain",36.6989023,-4.4750982,medium,original,"Camino de los Prados, Los Prados, Cruz de Humilladero, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29006, España"
"Cam. del Pato, 32 - malaga",house_number,"Camino del Pato, 32, Málaga, Spain",36.6888443,-4.4520673,high,original,"32, Camino del Pato, Puerta Blanca, Carretera de Cádiz, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29004, España"
Cmo de S. Rafael 106,house_number,"Camino de S. Rafael 106, Málaga, Spain",36.7071328,-4.4491496,medium,original,"Camino San Rafael, San Rafael, Cruz de Humilladero, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29003, España"
"Camino suarez, 10",house_number,"Camino Suarez, 10, Málaga, Spain",36.7273458,-4.4368601,high,original,"10, Camino Suárez, La Bresca, La Trinidad (Bailén-Miraflores), Bailén-Miraflores, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29010, España"
"Camino Suarez, 22-24",house_number,"Camino Suarez, 22-24, Málaga, Spain",36.7285647,-4.4419,medium,original,"Camino Suárez, Suárez, Bailén-Miraflores, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29080, España"
"Cam. Suárez, 54, Bailén-Miraflores, 29010 Málaga",house_number,"Camino Suárez, 54, Bailén-miraflores, 29010, Málaga, Spain",36.7282981,-4.4408807,high,original,"54, Camino Suárez, Parque Victoria Eugenia, Bailén-Miraflores, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29010, España"
C. Cancho Perez,street_only,"Calle Cancho Perez, Málaga, Spain",36.7012868,-4.4528572,high,original,"Calle Cancho Pérez, Nuevo San Andrés 1, Carretera de Cádiz, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29003, España"
capitan huelin 11 malaga,house_number,"Capitan Huelin 11, Málaga, Spain",36.7189545,-4.4364901,high,original,"11, Calle Capitán Huelin, Haza Cuevas, Cruz de Humilladero, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29007, España"
"Carlos Haya, 105 - Malaga",house_number,"Carlos Haya, 105, Málaga, Spain",36.7229244,-4.4527942,medium,original,"Farmacia Matildilla, 105, Avenida Carlos de Haya, Camino de Antequera, Cruz de Humilladero, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29010, España"
"Carlos Haya, 110",house_number,"Carlos Haya, 110, Málaga, Spain",36.7231376,-4.4525237,high,original,"110, Avenida Carlos de Haya, La Florida, Bailén-Miraflores, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29010, España"
"Carlos Haya, 133 - Malaga",house_number,"Carlos Haya, 133, Málaga, Spain",36.7230732,-4.4479335,medium,original,"Carlos Haya, Bailén-Miraflores, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, España"
"Carlos Haya, 202 - Malaga",house_number,"Carlos Haya, 202, Málaga, Spain",36.7253159,-4.4573014,high,original,"202, Avenida Carlos de Haya, La Florida, Bailén-Miraflores, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29010, España"
"Carlos Haya, 58",house_number,"Carlos Haya, 58, Málaga, Spain",36.7220845,-4.4460387,high,original,"58, Avenida Carlos de Haya, Carlos Haya, Bailén-Miraflores, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29010, España"
"Carlos de Haya, 76",house_number,"Carlos de Haya, 76, Málaga, Spain",36.7224599,-4.4479507,high,original,"76, Avenida Carlos de Haya, Carlos Haya, Bailén-Miraflores, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29010, España"
"Carril de la Cordobesa, 14",house_number,"Carril de la Cordobesa, 14, Málaga, Spain",36.707278,-4.4390846,medium,original,"Centro Ciudadano La Princesa, 14, Carril de la Cordobesa, La Princesa, Polígono Industrial La Pelusa, Carretera de Cádiz, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29002, España"
"Carril del Conde, 10 - malaga",house_number,"Carril del Conde, 10, Málaga, Spain",36.6955194,-4.4527403,high,simplified,"10, Carril Conde, La Luz, Carretera de Cádiz, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29004, España"
"C. Castilla, 28-38 MALAGA",house_number,"Calle Castilla, 28-38, Málaga, Spain",36.7200533,-4.4543959,medium,original,"Calle Castilla, Camino de Antequera, Cruz de Humilladero, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29010, España"
"C. Canillas de Aceituno, 3",house_number,"Calle Canillas de Aceituno, 3, Málaga, Spain",36.6876334,-4.4484538,high,original,"3, Calle Canillas de Aceituno, Almudena, Carretera de Cádiz, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29004, España"
C. Cañizares 20,house_number,"Calle Cañizares 20, Málaga, Spain",36.7014452,-4.4360708,high,original,"20, Calle Cañizares, Huelin, Carretera de Cádiz, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29002, España"
"C. Corregidor Nicolás Isidro, 9",house_number,"Calle Corregidor Nicolás Isidro, 9, Málaga, Spain",36.7156372,-4.4504498,high,original,"9, Calle Corregidor Nicolás Isidro, Polígono Carretera de Cártama, Cruz de Humilladero, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29007, España"
"C.  Francisco de Cossío, 12",house_number,"Calle Francisco de Cossío, 12, Málaga, Spain",36.6913972,-4.4438552,high,original,"12, Calle Francisco de Cossío, San Carlos, Carretera de Cádiz, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29004, España"
C. del Jalón 17,house_number,"Calle del Jalón 17, Málaga, Spain",36.6866672,-4.4491592,medium,simplified,"Calle Jalón, Almudena, Carretera de Cádiz, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29003, España"
"C. Emilio Prados, 1  - malaga",house_number,"Calle Emilio Prados, 1, Málaga, Spain",36.6986046,-4.4448759,high,original,"1, Calle Emilio Prados, Girón, Carretera de Cádiz, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29003, España"
"C. del Ciprés, 20 - malaga",house_number,"Calle del Ciprés, 20, Málaga, Spain",36.723818,-4.4480041,medium,original,"Calle Travesía del Ciprés, Carlos Haya, Bailén-Miraflores, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29007, España"
Cipres esquina Emilio Benavent - Malaga,intersection,"Cipres and Emilio Benavent, Málaga, Spain",36.7497616,-4.5486333,low,first_street_of_intersection,"Barranca del Ciprés, Santa Rosalía-Maqueda, Campanillas, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29591, España"
"C. Juan Sebastián Bach, 1",house_number,"Calle Juan Sebastián Bach, 1, Málaga, Spain",36.6955016,-4.4505757,high,original,"1, Calle Juan Sebastián Bach, La Paz, Carretera de Cádiz, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29004, España"
calle la union 41,house_number,"Calle la Union 41, Málaga, Spain",36.7110406,-4.438941,high,original,"41, Calle La Unión, La Unión, Cruz de Humilladero, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29006, España"
C. La unión  mercantil 15,house_number,"Calle la Unión Mercantil 15, Málaga, Spain",36.6882896,-4.4500405,medium,original,"Pabellón José María Martín Urbano, 15, Calle La Unión Mercantil, Almudena, Carretera de Cádiz, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29004, España"
C. La unión  mercantil 18,house_number,"Calle la Unión Mercantil 18, Málaga, Spain",36.6908732,-4.4500229,high,original,"18, Calle La Unión Mercantil, Los Guindos, Carretera de Cádiz, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29004, España"
"C. Milagrosa, 7-5 malaga",house_number,"Calle Milagrosa, 7-5, Málaga, Spain",36.6926468,-4.4427508,medium,original,"Calle La Milagrosa, Santa Isabel, Carretera de Cádiz, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29003, España"
"C. Concejal Masso Roura, 9-3",house_number,"Calle Concejal Masso Roura, 9-3, Málaga, Spain",36.7029147,-4.4465556,medium,original,"Calle Concejal Masso Roura, Dos Hermanas, Carretera de Cádiz, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29003, España"
"Corregidor Antonio Bobadilla, 5 - Malaga",house_number,"Corregidor Antonio Bobadilla, 5, Málaga, Spain",36.7113077,-4.4492843,high,original,"5, Calle Corregidor Antonio de Bobadilla, Polígono Carretera de Cártama, Los Corazones, Cruz de Humilladero, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29006, España"
"C. Corregidor Carlos Garafa, 7-5 MALAGA",house_number,"Calle Corregidor Carlos Garafa, 7-5, Málaga, Spain",36.7180259,-4.4506912,medium,original,"Calle Corregidor Carlos Garafa, Polígono Carretera de Cártama, Cruz de Humilladero, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29007, España"
"C. Corregidor Francisco de Molina, 21 MALAGA",house_number,"Calle Corregidor Francisco de Molina, 21, Málaga, Spain",36.7126585,-4.4518711,high,original,"21, Calle Corregidor Francisco de Molina, Polígono Carretera de Cártama, Los Corazones, Cruz de Humilladero, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29006, España"
Corregidor Francisco Molina 15,house_number,"Corregidor Francisco Molina 15, Málaga, Spain",36.7128983,-4.4510763,high,original,"15, Calle Corregidor Francisco de Molina, Polígono Carretera de Cártama, Los Corazones, Cruz de Humilladero, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29006, España"
"C. Corregidor José Viciana, 11-9 MALAGA",house_number,"Calle Corregidor José Viciana, 11-9, Málaga, Spain",36.7170473,-4.4500131,medium,original,"Calle Corregidor José Viciana, Polígono Carretera de Cártama, Cruz de Humilladero, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29007, España"
"C. Corregidor Nicolás Isidro, 23 MALAGA",house_number,"Calle Corregidor Nicolás Isidro, 23, Málaga, Spain",36.7149683,-4.4528964,high,original,"23, Calle Corregidor Nicolás Isidro, Polígono Carretera de Cártama, Cruz de Humilladero, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29007, España"
"C. Cortijo de Echarte, 4",house_number,"Calle Cortijo de Echarte, 4, Málaga, Spain",36.7018308,-4.4492992,medium,original,"Calle Cortijo de Echarte, Haza de la Pesebrera, Carretera de Cádiz, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29003, España"
C. Realenga de San Luis 4,house_number,"Calle Realenga de San Luis 4, Málaga, Spain",36.6966702,-4.4475495,high,original,"4, Calle Realenga de San Luis, Cortijo Vallejo, Carretera de Cádiz, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29003, España"
